,Name,Website,Reviews,Rating
0, Brugarol Barcelona,/Restaurant_Review-g187497-d15673484-Reviews-Brugarol_Barcelona-Barcelona_Catalonia.html,367,5.0
1, Tucco Real Food Eixample,/Restaurant_Review-g187497-d17651083-Reviews-Tucco_Real_Food_Eixample-Barcelona_Catalonia.html,376,5.0
2, LAB Restaurant,/Restaurant_Review-g187497-d14962029-Reviews-LAB_Restaurant-Barcelona_Catalonia.html,296,5.0
3, My Way Lounge Restaurant,/Restaurant_Review-g187497-d1080185-Reviews-My_Way_Lounge_Restaurant-Barcelona_Catalonia.html,2287,4.5
4, Don Kilo Restaurant,/Restaurant_Review-g187497-d15081706-Reviews-Don_Kilo_Restaurant-Barcelona_Catalonia.html,1814,5.0
5, La Carmelina,/Restaurant_Review-g187497-d13927930-Reviews-La_Carmelina-Barcelona_Catalonia.html,929,5.0
6, Sumac & Mambo,/Restaurant_Review-g187497-d21503781-Reviews-Sumac_Mambo-Barcelona_Catalonia.html,545,5.0
7, Eixampeling Brunch Cafe & Bar,/Restaurant_Review-g187497-d12356083-Reviews-Eixampeling_Brunch_Cafe_Bar-Barcelona_Catalonia.html,1103,5.0
8, La Terraza Miro,/Restaurant_Review-g187497-d8675078-Reviews-La_Terraza_Miro-Barcelona_Catalonia.html,1144,4.5
9, Dona Rosa,/Restaurant_Review-g187497-d10285793-Reviews-Dona_Rosa-Barcelona_Catalonia.html,1156,4.5
10, The Venue Steak House,/Restaurant_Review-g187497-d6979673-Reviews-The_Venue_Steak_House-Barcelona_Catalonia.html,590,4.5
11, Almalibre Acai House Barcelona,/Restaurant_Review-g187497-d12697767-Reviews-Almalibre_Acai_House_Barcelona-Barcelona_Catalonia.html,132,5.0
12, Narciso,/Restaurant_Review-g187497-d12702776-Reviews-Narciso-Barcelona_Catalonia.html,337,5.0
13, Senor Pina Secret Garden,/Restaurant_Review-g187497-d18931246-Reviews-Senor_Pina_Secret_Garden-Barcelona_Catalonia.html,161,5.0
14, Bodega Biarritz 1881,/Restaurant_Review-g187497-d3832462-Reviews-Bodega_Biarritz_1881-Barcelona_Catalonia.html,4629,4.5
15, Chaka Khan,/Restaurant_Review-g187497-d12787272-Reviews-Chaka_Khan-Barcelona_Catalonia.html,2303,5.0
16, Xiloka,/Restaurant_Review-g187497-d12354904-Reviews-Xiloka-Barcelona_Catalonia.html,473,5.0
17, Pizzeria Bar Ottantotto,/Restaurant_Review-g187497-d13763198-Reviews-Pizzeria_Bar_Ottantotto-Barcelona_Catalonia.html,296,5.0
18, Miss Simona Cafe Brunch & Tapas,/Restaurant_Review-g187497-d15619851-Reviews-Miss_Simona_Cafe_Brunch_Tapas-Barcelona_Catalonia.html,236,5.0
19, Zed restaurant,/Restaurant_Review-g187497-d12232816-Reviews-Zed_restaurant-Barcelona_Catalonia.html,705,4.5
20, Micu Maku,/Restaurant_Review-g187497-d6216371-Reviews-Micu_Maku-Barcelona_Catalonia.html,2160,4.5
21, La Peninsular,/Restaurant_Review-g187497-d4541296-Reviews-La_Peninsular-Barcelona_Catalonia.html,2991,4.5
22, Restaurante Don Angelo,/Restaurant_Review-g187497-d997633-Reviews-Restaurante_Don_Angelo-Barcelona_Catalonia.html,182,5.0
23, Madre Taberna Moderna,/Restaurant_Review-g187497-d23348829-Reviews-Madre_Taberna_Moderna-Barcelona_Catalonia.html,350,4.5
24, Santa Rita Experience,/Restaurant_Review-g187497-d7057940-Reviews-Santa_Rita_Experience-Barcelona_Catalonia.html,509,5.0
25, Sato I Tanaka,/Restaurant_Review-g187497-d13189781-Reviews-Sato_I_Tanaka-Barcelona_Catalonia.html,145,5.0
26, Casa Cheli,/Restaurant_Review-g187497-d20158536-Reviews-Casa_Cheli-Barcelona_Catalonia.html,220,5.0
27, Cellarer Wine Bar,/Restaurant_Review-g187497-d10456682-Reviews-Cellarer_Wine_Bar-Barcelona_Catalonia.html,327,5.0
28, Hungaryto,/Restaurant_Review-g187497-d3164386-Reviews-Hungaryto-Barcelona_Catalonia.html,429,4.5
29, bicos,/Restaurant_Review-g187497-d13436103-Reviews-Bicos-Barcelona_Catalonia.html,518,5.0
30, Lokal Bar,/Restaurant_Review-g187497-d14068352-Reviews-Lokal_Bar-Barcelona_Catalonia.html,909,4.5
31, Kserol,/Restaurant_Review-g187497-d10201606-Reviews-Kserol-Barcelona_Catalonia.html,407,4.5
32, Teoric Taverna Gastronomica,/Restaurant_Review-g187497-d11881068-Reviews-Teoric_Taverna_Gastronomica-Barcelona_Catalonia.html,1020,5.0
33, Colom,/Restaurant_Review-g187497-d3179219-Reviews-Colom-Barcelona_Catalonia.html,8502,4.5
34, Tandoori Nights,/Restaurant_Review-g187497-d5418221-Reviews-Tandoori_Nights-Barcelona_Catalonia.html,1011,4.5
35, Jefferson,/Restaurant_Review-g187497-d13961725-Reviews-Jefferson-Barcelona_Catalonia.html,960,4.5
36, Tapa Tapa C.C Glories,/Restaurant_Review-g187497-d14022072-Reviews-Tapa_Tapa_C_C_Glories-Barcelona_Catalonia.html,747,4.5
37, Restaurante Renoi,/Restaurant_Review-g187497-d14135341-Reviews-Restaurante_Renoi-Barcelona_Catalonia.html,210,5.0
38, Arcano,/Restaurant_Review-g187497-d986234-Reviews-Arcano-Barcelona_Catalonia.html,3844,4.5
39, GiGi von tapas,/Restaurant_Review-g187497-d17326451-Reviews-GiGi_von_tapas-Barcelona_Catalonia.html,194,5.0
40, Dual Cafe,/Restaurant_Review-g187497-d11593124-Reviews-Dual_Cafe-Barcelona_Catalonia.html,192,5.0
41, En Diagonal Bar,/Restaurant_Review-g187497-d4725620-Reviews-En_Diagonal_Bar-Barcelona_Catalonia.html,759,4.5
42, Vai Moana,/Restaurant_Review-g187497-d4379490-Reviews-Vai_Moana-Barcelona_Catalonia.html,1689,4.5
43, Buenos Aires Grill Restaurant,/Restaurant_Review-g187497-d6413496-Reviews-Buenos_Aires_Grill_Restaurant-Barcelona_Catalonia.html,3566,4.5
44, La Piazzetta GranVia,/Restaurant_Review-g187497-d19987461-Reviews-La_Piazzetta_GranVia-Barcelona_Catalonia.html,321,4.5
45, Rossini,/Restaurant_Review-g187497-d1082035-Reviews-Rossini-Barcelona_Catalonia.html,5116,4.5
46, Tast-Ller,/Restaurant_Review-g187497-d6482227-Reviews-Tast_Ller-Barcelona_Catalonia.html,856,4.5
47, Bo Kaap,/Restaurant_Review-g187497-d13958571-Reviews-Bo_Kaap-Barcelona_Catalonia.html,830,4.5
48, The Box,/Restaurant_Review-g187497-d5820228-Reviews-The_Box-Barcelona_Catalonia.html,1097,4.5
49, Gran Viana,/Restaurant_Review-g187497-d15321479-Reviews-Gran_Viana-Barcelona_Catalonia.html,561,5.0
50, Bordeaux - Cuina Oberta,/Restaurant_Review-g187497-d12452232-Reviews-Bordeaux_Cuina_Oberta-Barcelona_Catalonia.html,340,4.5
51, Oporto Restaurante,/Restaurant_Review-g187497-d8275743-Reviews-Oporto_Restaurante-Barcelona_Catalonia.html,930,4.5
52, Clemen' s Boqueria,/Restaurant_Review-g187497-d2184678-Reviews-Clemen_s_Boqueria-Barcelona_Catalonia.html,553,4.5
53, Restaurante Fastuc,/Restaurant_Review-g187497-d13829590-Reviews-Restaurante_Fastuc-Barcelona_Catalonia.html,147,4.5
54, Cera 23,/Restaurant_Review-g187497-d2314335-Reviews-Cera_23-Barcelona_Catalonia.html,5161,4.5
55, Tucco Real Food Born,/Restaurant_Review-g187497-d3512003-Reviews-Tucco_Real_Food_Born-Barcelona_Catalonia.html,1468,4.5
56, Andele Santa Fe,/Restaurant_Review-g187497-d826469-Reviews-Andele_Santa_Fe-Barcelona_Catalonia.html,332,4.5
57, Gallo Nero,/Restaurant_Review-g187497-d13954971-Reviews-Gallo_Nero-Barcelona_Catalonia.html,484,4.5
58, Ostaia Cucina Italiana,/Restaurant_Review-g187497-d15562744-Reviews-Ostaia_Cucina_Italiana-Barcelona_Catalonia.html,293,4.5
59, Tomasso - New York Pizza,/Restaurant_Review-g187497-d6839738-Reviews-Tomasso_New_York_Pizza-Barcelona_Catalonia.html,323,4.5
60, Eat Caribbean Barcelona,/Restaurant_Review-g187497-d3173600-Reviews-Eat_Caribbean_Barcelona-Barcelona_Catalonia.html,327,4.5
61, Alquimia Barcelona,/Restaurant_Review-g187497-d21074724-Reviews-Alquimia_Barcelona-Barcelona_Catalonia.html,269,5.0
62, Ristorante Pizzeria Eden,/Restaurant_Review-g187497-d3452955-Reviews-Ristorante_Pizzeria_Eden-Barcelona_Catalonia.html,722,4.5
63, Bambu Beach Bar,/Restaurant_Review-g187497-d4355271-Reviews-Bambu_Beach_Bar-Barcelona_Catalonia.html,1283,4.5
64, Can Valles,/Restaurant_Review-g187497-d1036570-Reviews-Can_Valles-Barcelona_Catalonia.html,904,4.5
65, Argentinisimo,/Restaurant_Review-g187497-d5859949-Reviews-Argentinisimo-Barcelona_Catalonia.html,644,4.5
66, El Xampanyet,/Restaurant_Review-g187497-d697571-Reviews-El_Xampanyet-Barcelona_Catalonia.html,2766,4.5
67, Guelly sandwichpark,/Restaurant_Review-g187497-d4553912-Reviews-Guelly_sandwichpark-Barcelona_Catalonia.html,220,4.5
68, Lascar 74,/Restaurant_Review-g187497-d8661980-Reviews-Lascar_74-Barcelona_Catalonia.html,437,4.5
69, Vivo Tapas,/Restaurant_Review-g187497-d10901576-Reviews-Vivo_Tapas-Barcelona_Catalonia.html,2639,4.5
70, Pizzeria Da Nanni Tallers,/Restaurant_Review-g187497-d23220731-Reviews-Pizzeria_Da_Nanni_Tallers-Barcelona_Catalonia.html,169,5.0
71, Piazze D'Italia,/Restaurant_Review-g187497-d997375-Reviews-Piazze_D_Italia-Barcelona_Catalonia.html,2020,4.5
72, Papadam,/Restaurant_Review-g187497-d17651868-Reviews-Papadam-Barcelona_Catalonia.html,399,4.5
73, Restaurante Terra Mia,/Restaurant_Review-g187497-d4057864-Reviews-Restaurante_Terra_Mia-Barcelona_Catalonia.html,507,4.5
74, La Deliciosa,/Restaurant_Review-g187497-d6609260-Reviews-La_Deliciosa-Barcelona_Catalonia.html,2060,4.5
75, Donizetti,/Restaurant_Review-g187497-d1081627-Reviews-Donizetti-Barcelona_Catalonia.html,634,4.5
76, 65 Degrees Barcelona,/Restaurant_Review-g187497-d10693617-Reviews-65_Degrees_Barcelona-Barcelona_Catalonia.html,202,4.5
77, Futballarium Barcelona,/Restaurant_Review-g187497-d7603215-Reviews-Futballarium_Barcelona-Barcelona_Catalonia.html,558,4.5
78, The Pan's Club,/Restaurant_Review-g187497-d8320363-Reviews-The_Pan_s_Club-Barcelona_Catalonia.html,378,4.5
79," Listo Restaurants, Pizza Pasta Paella Tapas",/Restaurant_Review-g187497-d21153260-Reviews-Listo_Restaurants_Pizza_Pasta_Paella_Tapas-Barcelona_Catalonia.html,246,4.5
80, Pulperia Can Lampazas,/Restaurant_Review-g187497-d10643938-Reviews-Pulperia_Can_Lampazas-Barcelona_Catalonia.html,1040,4.5
81, Menssana,/Restaurant_Review-g187497-d7891732-Reviews-Menssana-Barcelona_Catalonia.html,1445,4.5
82, Disfrutar,/Restaurant_Review-g187497-d7281314-Reviews-Disfrutar-Barcelona_Catalonia.html,1974,4.5
83, Bar Casi,/Restaurant_Review-g187497-d4728824-Reviews-Bar_Casi-Barcelona_Catalonia.html,964,4.5
84, Cheese and Cake,/Restaurant_Review-g187497-d12523500-Reviews-Cheese_and_Cake-Barcelona_Catalonia.html,343,4.5
85, The Alchemix,/Restaurant_Review-g187497-d13986273-Reviews-The_Alchemix-Barcelona_Catalonia.html,242,4.5
86, The Sopa Boba,/Restaurant_Review-g187497-d7724305-Reviews-The_Sopa_Boba-Barcelona_Catalonia.html,1042,4.5
87, Marisqueria Esthvan,/Restaurant_Review-g187497-d5486265-Reviews-Marisqueria_Esthvan-Barcelona_Catalonia.html,244,4.5
88, Pizza Pazza,/Restaurant_Review-g187497-d3164269-Reviews-Pizza_Pazza-Barcelona_Catalonia.html,661,4.5
89, The Rooftop at Sir Victor,/Restaurant_Review-g187497-d17409798-Reviews-The_Rooftop_at_Sir_Victor-Barcelona_Catalonia.html,239,4.5
90, Restaurant Pau Claris 190,/Restaurant_Review-g187497-d7160775-Reviews-Restaurant_Pau_Claris_190-Barcelona_Catalonia.html,907,4.5
91, A Tu Bola,/Restaurant_Review-g187497-d6370280-Reviews-A_Tu_Bola-Barcelona_Catalonia.html,1397,4.5
92, Ziryab Fusion Tapas Bar,/Restaurant_Review-g187497-d7302930-Reviews-Ziryab_Fusion_Tapas_Bar-Barcelona_Catalonia.html,1431,4.5
93, Soda Bus,/Restaurant_Review-g187497-d4889000-Reviews-Soda_Bus-Barcelona_Catalonia.html,316,4.5
94, Restaurante Koh-i-Noor India,/Restaurant_Review-g187497-d10482201-Reviews-Restaurante_Koh_i_Noor_India-Barcelona_Catalonia.html,748,4.5
95, Comida De Olla,/Restaurant_Review-g187497-d10325973-Reviews-Comida_De_Olla-Barcelona_Catalonia.html,363,4.5
96, Foc i Oli Aribau,/Restaurant_Review-g187497-d4091047-Reviews-Foc_i_Oli_Aribau-Barcelona_Catalonia.html,992,4.5
97, Cal Trapella - Cuina de Mercat,/Restaurant_Review-g187497-d16694429-Reviews-Cal_Trapella_Cuina_de_Mercat-Barcelona_Catalonia.html,291,4.5
98, Restaurante Rokelin Gourmet,/Restaurant_Review-g187497-d9738466-Reviews-Restaurante_Rokelin_Gourmet-Barcelona_Catalonia.html,836,4.5
99, El Viti Taberna,/Restaurant_Review-g187497-d8853932-Reviews-El_Viti_Taberna-Barcelona_Catalonia.html,903,4.5
100, Louro,/Restaurant_Review-g187497-d12922828-Reviews-Louro-Barcelona_Catalonia.html,1039,4.5
101, La Terraza del Claris,/Restaurant_Review-g187497-d1080772-Reviews-La_Terraza_del_Claris-Barcelona_Catalonia.html,447,4.5
102, La Platilleria,/Restaurant_Review-g187497-d8672947-Reviews-La_Platilleria-Barcelona_Catalonia.html,291,4.5
103, La Pruna,/Restaurant_Review-g187497-d13005380-Reviews-La_Pruna-Barcelona_Catalonia.html,202,4.5
104, Bierzo food,/Restaurant_Review-g187497-d3753321-Reviews-Bierzo_food-Barcelona_Catalonia.html,1307,4.5
105, Agreste de Fabio & Roser,/Restaurant_Review-g187497-d11895655-Reviews-Agreste_de_Fabio_Roser-Barcelona_Catalonia.html,304,4.5
106, La Perillosa,/Restaurant_Review-g187497-d8451258-Reviews-La_Perillosa-Barcelona_Catalonia.html,264,4.5
107, Uma,/Restaurant_Review-g187497-d8003030-Reviews-Uma-Barcelona_Catalonia.html,1169,5.0
108, Toma Ya Street Food,/Restaurant_Review-g187497-d10373617-Reviews-Toma_Ya_Street_Food-Barcelona_Catalonia.html,162,5.0
109, Petit Pau Restaurant,/Restaurant_Review-g187497-d5484912-Reviews-Petit_Pau_Restaurant-Barcelona_Catalonia.html,839,4.5
110, Sagradas Tapas,/Restaurant_Review-g187497-d20229105-Reviews-Sagradas_Tapas-Barcelona_Catalonia.html,325,4.5
111, Restaurante La Estrella 1924,/Restaurant_Review-g187497-d944055-Reviews-Restaurante_La_Estrella_1924-Barcelona_Catalonia.html,418,4.5
112, Tosca Palau,/Restaurant_Review-g187497-d5584413-Reviews-Tosca_Palau-Barcelona_Catalonia.html,2585,4.5
113, Deja Burg,/Restaurant_Review-g187497-d7736365-Reviews-Deja_Burg-Barcelona_Catalonia.html,214,4.5
114, Gilda by Belgious,/Restaurant_Review-g187497-d1966404-Reviews-Gilda_by_Belgious-Barcelona_Catalonia.html,1440,4.5
115, Beam,/Restaurant_Review-g187497-d11946494-Reviews-Beam-Barcelona_Catalonia.html,220,4.5
116, Salterio,/Restaurant_Review-g187497-d19786934-Reviews-Salterio-Barcelona_Catalonia.html,558,4.5
117, Palosanto Tapas Bar,/Restaurant_Review-g187497-d6643687-Reviews-Palosanto_Tapas_Bar-Barcelona_Catalonia.html,1382,4.5
118, Spicy Soul HotPot,/Restaurant_Review-g187497-d20070156-Reviews-Spicy_Soul_HotPot-Barcelona_Catalonia.html,140,4.5
119, Red Garter Barcelona,/Restaurant_Review-g187497-d12795433-Reviews-Red_Garter_Barcelona-Barcelona_Catalonia.html,276,4.5
120, Agust Barcelona,/Restaurant_Review-g187497-d8469307-Reviews-Agust_Barcelona-Barcelona_Catalonia.html,1978,4.5
121, Restaurante Lasarte,/Restaurant_Review-g187497-d809578-Reviews-Restaurante_Lasarte-Barcelona_Catalonia.html,1117,4.5
122, Carlota Akaneya,/Restaurant_Review-g187497-d2369018-Reviews-Carlota_Akaneya-Barcelona_Catalonia.html,1393,4.5
123, Rasoi,/Restaurant_Review-g187497-d13431140-Reviews-Rasoi-Barcelona_Catalonia.html,338,4.5
124, Bar Quiosc Modern,/Restaurant_Review-g187497-d4493632-Reviews-Bar_Quiosc_Modern-Barcelona_Catalonia.html,341,4.5
125, Aqui Quedamos,/Restaurant_Review-g187497-d8766344-Reviews-Aqui_Quedamos-Barcelona_Catalonia.html,286,4.5
126, Son Hao,/Restaurant_Review-g187497-d1113715-Reviews-Son_Hao-Barcelona_Catalonia.html,457,4.5
127, Vinitus Madrid-Barcelona,/Restaurant_Review-g187497-d775571-Reviews-Vinitus_Madrid_Barcelona-Barcelona_Catalonia.html,309,4.5
128, Bar Canete,/Restaurant_Review-g187497-d1905775-Reviews-Bar_Canete-Barcelona_Catalonia.html,3032,4.5
129, Alegoria Restaurante Barcelona,/Restaurant_Review-g187497-d23762725-Reviews-Alegoria_Restaurante_Barcelona-Barcelona_Catalonia.html,116,4.5
130, Volta al Mon,/Restaurant_Review-g187497-d3998079-Reviews-Volta_al_Mon-Barcelona_Catalonia.html,562,4.5
131, Gourmet Sensi,/Restaurant_Review-g187497-d8003654-Reviews-Gourmet_Sensi-Barcelona_Catalonia.html,1419,4.5
132, Mi Gracia,/Restaurant_Review-g187497-d2489525-Reviews-Mi_Gracia-Barcelona_Catalonia.html,420,4.5
133, Meson Barceloneta,/Restaurant_Review-g187497-d7983624-Reviews-Meson_Barceloneta-Barcelona_Catalonia.html,1231,4.5
134, Guell Tapas,/Restaurant_Review-g187497-d3601243-Reviews-Guell_Tapas-Barcelona_Catalonia.html,2340,4.5
135, BENZiNA,/Restaurant_Review-g187497-d15036399-Reviews-BENZiNA-Barcelona_Catalonia.html,297,4.5
136, Musiu,/Restaurant_Review-g187497-d12654503-Reviews-Musiu-Barcelona_Catalonia.html,392,4.5
137, Maro Azul,/Restaurant_Review-g187497-d19741289-Reviews-Maro_Azul-Barcelona_Catalonia.html,123,4.5
138, El Salon,/Restaurant_Review-g187497-d697560-Reviews-El_Salon-Barcelona_Catalonia.html,842,4.5
139, Restaurant Montiel,/Restaurant_Review-g187497-d1205006-Reviews-Restaurant_Montiel-Barcelona_Catalonia.html,2531,4.5
140, Jardinet De Gracia,/Restaurant_Review-g187497-d23754886-Reviews-Jardinet_De_Gracia-Barcelona_Catalonia.html,91,5.0
141, Patagonia Beef & Wine,/Restaurant_Review-g187497-d1045629-Reviews-Patagonia_Beef_Wine-Barcelona_Catalonia.html,2116,4.5
142, Cinc Sentits,/Restaurant_Review-g187497-d697497-Reviews-Cinc_Sentits-Barcelona_Catalonia.html,1029,4.5
143, Equilibri Bcn,/Restaurant_Review-g187497-d10339269-Reviews-Equilibri_Bcn-Barcelona_Catalonia.html,295,4.5
144, Avinyo10,/Restaurant_Review-g187497-d8558090-Reviews-Avinyo10-Barcelona_Catalonia.html,2501,4.5
145, Restaurant La Ferreria Des De 1987,/Restaurant_Review-g187497-d1544653-Reviews-Restaurant_La_Ferreria_Des_De_1987-Barcelona_Catalonia.html,398,4.5
146, Season Restaurant Barcelona,/Restaurant_Review-g187497-d15148522-Reviews-Season_Restaurant_Barcelona-Barcelona_Catalonia.html,642,4.5
147, Koy Shunka,/Restaurant_Review-g187497-d1471799-Reviews-Koy_Shunka-Barcelona_Catalonia.html,1458,4.5
148, Bistro Helena,/Restaurant_Review-g187497-d6730988-Reviews-Bistro_Helena-Barcelona_Catalonia.html,1129,4.5
149, Can Dende,/Restaurant_Review-g187497-d7387261-Reviews-Can_Dende-Barcelona_Catalonia.html,972,4.5
